number,position,Player,Caps,Club,country,age,birthday,isHome
5,DF,Gary Cahill,23,England Chelsea,England,28,19 December 1985,TRUE
6,DF,Phil Jagielka,24,England Everton,England,31,17 August 1982,TRUE
7,MF,Jack Wilshere,15,England Arsenal,England,22,1 January 1992,TRUE
8,MF,Frank Lampard,103,England Chelsea,England,35,20 June 1978,TRUE
9,FW,Daniel Sturridge,10,England Liverpool,England,24,1 September 1989,TRUE
10,FW,Wayne Rooney,89,England Manchester United,England,28,24 October 1985,TRUE
11,FW,Danny Welbeck,21,England Manchester United,England,23,26 November 1990,TRUE
12,DF,Chris Smalling,10,England Manchester United,England,24,22 November 1989,TRUE
13,GK,Ben Foster,6,England West Bromwich Albion,England,31,3 May 1983,TRUE
14,MF,Jordan Henderson,8,England Liverpool,England,23,17 June 1990,TRUE
15,MF,Alex Oxlade-Chamberlain,14,England Arsenal,England,20,15 August 1993,TRUE
16,DF,Phil Jones,9,England Manchester United,England,22,21 February 1992,TRUE
17,MF,James Milner,45,England Manchester City,England,28,4 January 1986,TRUE
18,FW,Rickie Lambert,4,England Southampton,England,32,16 February 1982,TRUE
19,MF,Raheem Sterling,2,England Liverpool,England,19,8 December 1994,TRUE
20,MF,Adam Lallana,3,England Southampton,England,26,10 May 1988,TRUE
21,MF,Ross Barkley,3,England Everton,England,20,5 December 1993,TRUE
22,GK,Fraser Forster,1,Scotland Celtic,England,26,17 March 1988,FALSE
23,DF,Luke Shaw,1,England Southampton,England,18,12 July 1995,TRUE
?,GK,Gianluigi Buffon,139,Italy Juventus,Italy,36,28 January 1978,TRUE
?,GK,Salvatore Sirigu,7,France Paris Saint-Germain,Italy,27,12 January 1987,FALSE
?,GK,Mattia Perin,0,Italy Genoa,Italy,21,10 November 1992,TRUE
?,DF,Giorgio Chiellini,67,Italy Juventus,Italy,29,14 August 1984,TRUE
?,DF,Andrea Barzagli,47,Italy Juventus,Italy,33,08 May 1981,TRUE
?,DF,Leonardo Bonucci,35,Italy Juventus,Italy,27,01 May 1987,TRUE
?,DF,Christian Maggio,33,Italy Napoli,Italy,32,11 February 1982,TRUE
?,DF,Andrea Ranocchia,12,Italy Internazionale,Italy,26,16 February 1988,TRUE
?,DF,Ignazio Abate,11,Italy Milan,Italy,27,12 November 1986,TRUE
?,DF,Mattia De Sciglio,9,Italy Milan,Italy,21,20 October 1992,TRUE
?,DF,Manuel Pasqual,3,Italy Fiorentina,Italy,32,13 March 1982,TRUE
?,DF,Gabriel Paletta,1,Italy Parma,Italy,28,15 February 1986,TRUE
?,DF,Matteo Darmian,0,Italy Torino,Italy,24,2 December 1989,TRUE
?,MF,Andrea Pirlo,108,Italy Juventus,Italy,35,19 May 1979,TRUE
?,MF,Daniele De Rossi,93,Italy Roma,Italy,30,24 July 1983,TRUE
?,MF,Riccardo Montolivo,57,Italy Milan,Italy,29,18 January 1985,TRUE
?,MF,Claudio Marchisio,41,Italy Juventus,Italy,28,19 January 1986,TRUE
?,MF,Alberto Aquilani,33,Italy Fiorentina,Italy,29,7 July 1984,TRUE
?,MF,Thiago Motta,19,France Paris Saint-Germain,Italy,31,28 August 1982,FALSE
?,MF,Antonio Candreva,19,Italy Lazio,Italy,27,28 February 1987,TRUE
?,MF,Marco Verratti,4,France Paris Saint-Germain,Italy,21,5 November 1992,FALSE
?,MF,Marco Parolo,2,Italy Parma,Italy,29,25 January 1985,TRUE
?,MF,R?mulo,0,Italy Verona,Italy,27,22 May 1987,TRUE
?,GK,Fernando Muslera,60,Turkey Galatasaray,Uruguay,27,16 June 1986,FALSE
?,GK,Mart?n Silva,4,Brazil Vasco da Gama,Uruguay,31,25 March 1983,FALSE
?,GK,Rodrigo Mu?oz,0,Paraguay Libertad,Uruguay,32,22 January 1982,FALSE
?,DF,Diego Lugano,92,England West Bromwich Albion,Uruguay,33,2 November 1980,FALSE
?,DF,Maxi Pereira,88,Portugal Benfica,Uruguay,30,8 June 1984,FALSE
?,DF,Diego God?n,76,Spain Atl?tico Madrid,Uruguay,28,16 February 1986,FALSE
?,DF,Mart?n C?ceres,55,Italy Juventus,Uruguay,27,7 April 1987,FALSE
?,DF,Jorge Fucile,41,Portugal Porto,Uruguay,29,19 November 1984,FALSE
?,DF,Sebasti?n Coates,13,Uruguay Nacional,Uruguay,23,7 October 1990,TRUE
?,DF,Jos? Mar?a Gim?nez,4,Spain Atl?tico Madrid,Uruguay,19,20 January 1995,FALSE
?,DF,Alejandro Silva,2,Argentina Lan?s,Uruguay,24,4 September 1989,FALSE
?,MF,Diego P?rez,88,Italy Bologna,Uruguay,34,18 May 1980,FALSE
?,MF,Cristian Rodr?guez,71,Spain Atl?tico Madrid,Uruguay,28,30 September 1985,FALSE
?,MF,Walter Gargano,61,Italy Parma,Uruguay,29,23 July 1984,FALSE
?,MF,?lvaro Pereira,55,Brazil S?o Paulo,Uruguay,28,28 November 1985,FALSE
?,MF,Sebasti?n Eguren,54,Brazil Palmeiras,Uruguay,33,8 January 1981,FALSE
?,MF,Egidio Ar?valo R?os,53,Mexico Morelia,Uruguay,32,1 January 1982,FALSE
?,MF,?lvaro Gonz?lez,42,Italy Lazio,Uruguay,29,29 October 1984,FALSE
?,MF,Gast?n Ram?rez,27,England Southampton,Uruguay,23,2 December 1990,FALSE
?,MF,Nicol?s Lodeiro,25,Brazil Botafogo,Uruguay,25,21 March 1989,FALSE
?,FW,Diego Forl?n,108,Japan Cerezo Osaka,Uruguay,35,19 May 1979,FALSE
?,FW,Luis Su?rez,77,England Liverpool,Uruguay,27,24 January 1987,FALSE
?,FW,Edinson Cavani,60,France Paris Saint-Germain,Uruguay,27,14 February 1987,FALSE
?,GK,M?ximo Banguera,23,Ecuador Barcelona,Ecuador,28,16 December 1985,TRUE
?,GK,Alexander Dom?nguez,18,Ecuador LDU Quito,Ecuador,27,5 June 1987,TRUE
?,GK,Adri?n Bone,3,Ecuador El Nacional,Ecuador,25,8 September 1988,TRUE
?,DF,Walter Ayov?,88,Mexico Pachuca,Ecuador,34,11 August 1979,FALSE
?,DF,Jorge Guagua,57,Ecuador Emelec,Ecuador,32,28 September 1981,TRUE
?,DF,Juan Carlos Paredes,36,Ecuador Barcelona,Ecuador,26,8 July 1987,TRUE
?,DF,Frickson Erazo,35,Brazil Flamengo,Ecuador,26,5 May 1988,FALSE
?,DF,Gabriel Achilier,21,Ecuador Emelec,Ecuador,29,24 March 1985,TRUE
?,DF,?scar Bag??,21,Ecuador Emelec,Ecuador,31,10 December 1982,TRUE
?,DF,Cristian Ram?rez,2,Germany Fortuna D?sseldorf,Ecuador,19,15 August 1994,FALSE
?,DF,John Narv?ez,0,Ecuador Emelec,Ecuador,23,12 June 1991,TRUE
?,MF,?dison M?ndez,108,Colombia Santa Fe,Ecuador,35,15 March 1979,FALSE
?,MF,Segundo Castillo,80,Saudi Arabia Al-Hilal,Ecuador,32,15 May 1982,FALSE
?,MF,Antonio Valencia,69,England Manchester United,Ecuador,28,4 August 1985,FALSE
?,MF,Luis Saritama,48,Ecuador Barcelona,Ecuador,30,20 October 1983,TRUE
?,MF,Christian Noboa,41,Russia Dynamo Moscow,Ecuador,29,9 April 1985,FALSE
?,MF,Jefferson Montero,38,Mexico Morelia,Ecuador,24,1 September 1989,FALSE
?,MF,Jo?o Rojas,28,Mexico Cruz Azul,Ecuador,24,14 June 1989,FALSE
?,MF,Michael Arroyo,20,Mexico Atlante,Ecuador,27,23 April 1987,FALSE
?,MF,Oswaldo Minda,18,United States Chivas USA,Ecuador,30, 26 July 1983,FALSE
?,MF,Renato Ibarra,17,Netherlands Vitesse,Ecuador,23,20 January 1991,FALSE
?,MF,Pedro Qui??nez,10,Ecuador Emelec,Ecuador,28,4 March 1986,TRUE
?,MF,Fidel Mart?nez,7,Mexico Tijuana,Ecuador,24,15 February 1990,FALSE
?,GK,Hugo Lloris (captain),55,England Tottenham Hotspur,France,27,26 December 1986,FALSE
?,GK,Micka?l Landreau,11,France Bastia,France,35,14 May 1979,TRUE
?,GK,St?phane Ruffier[44],2,France Saint-?tienne,France,27, 27 September 1986,TRUE
?,DF,Patrice Evra,55,England Manchester United,France,33,15 May 1981,FALSE
?,DF,Bacary Sagna,39,England Arsenal,France,31,14 February 1983,FALSE
?,DF,Mathieu Debuchy,20,England Newcastle United,France,28,28 July 1985,FALSE
?,DF,Mamadou Sakho,17,England Liverpool,France,24,13 February 1990,FALSE
?,DF,Laurent Koscielny,16,England Arsenal,France,28,10 September 1985,FALSE
?,DF,Rapha?l Varane,5,Spain Real Madrid,France,21,25 April 1993,FALSE
?,DF,Lucas Digne,2,France Paris Saint-Germain,France,20,20 July 1993,TRUE
?,DF,Eliaquim Mangala,2,Portugal Porto,France,23,13 February 1991,FALSE
?,MF,Franck Rib?ry,81,Germany Bayern Munich,France,31,7 April 1983,FALSE
?,MF,Mathieu Valbuena,32,France Marseille,France,29,28 September 1984,TRUE
?,MF,Yohan Cabaye,28,France Paris Saint-Germain,France,28,14 January 1986,TRUE
?,MF,Blaise Matuidi,21,France Paris Saint-Germain,France,27,9 April 1987,TRUE
?,MF,Moussa Sissoko,15,England Newcastle United,France,24,16 August 1989,FALSE
?,MF,Rio Mavuba,10,France Lille,France,30,8 March 1984,TRUE
?,MF,Paul Pogba,9,Italy Juventus,France,21,15 March 1993,FALSE
?,MF,Cl?ment Grenier,4,France Lyon,France,23,7 January 1991,TRUE
?,MF,Antoine Griezmann,2,Spain Real Sociedad,France,23,21 March 1991,FALSE
?,FW,Karim Benzema,65,Spain Real Madrid,France,26,19 December 1987,FALSE
?,FW,Olivier Giroud,28,England Arsenal,France,27,30 September 1986,FALSE
?,FW,Lo?c R?my,23,England Newcastle United,France,27,2 January 1987,FALSE
?,GK,Noel Valladares (captain),120,Honduras Olimpia,Honduras,37,3 May 1977,TRUE
?,GK,Donis Escober,25,Honduras Olimpia,Honduras,34,3 February 1980,TRUE
?,GK,Luis L?pez,0,Honduras Real Espa?a,Honduras,20,13 September 1993,TRUE
?,DF,Maynor Figueroa,102,England Hull City,Honduras,31,2 May 1983,FALSE
?,DF,V?ctor Bern?rdez,75,United States San Jose Earthquakes,Honduras,32,24 May 1982,FALSE
?,DF,Emilio Izaguirre,66,Scotland Celtic,Honduras,28,10 May 1986,FALSE
?,DF,Osman Ch?vez,52,China Qingdao Jonoon,Honduras,29,29 July 1984,FALSE
?,DF,Juan Carlos Garc?a,31,England Wigan Athletic,Honduras,26,8 March 1988,FALSE
?,DF,Brayan Beckeles,20,Honduras Olimpia,Honduras,28,28 November 1985,TRUE
?,DF,Juan Pablo Montes,9,Honduras Motagua,Honduras,28,26 October 1985,TRUE
?,MF,Wilson Palacios,92,England Stoke City,Honduras,29,29 July 1984,FALSE
?,MF,?scar Garc?a,92,United States Houston Dynamo,Honduras,29,4 September 1984,FALSE
?,MF,Jorge Claros,46,Honduras Motagua,Honduras,28,8 January 1986,TRUE
?,MF,Marvin Ch?vez,39,United States Chivas USA,Honduras,30,3 November 1983,FALSE
?,MF,Roger Espinoza,39,England Wigan Athletic,Honduras,27,25 October 1986,FALSE
?,MF,Mario Mart?nez,34,Honduras Real Espa?a,Honduras,24,30 July 1989,TRUE
?,MF,Arnold Peralta,20,Scotland Rangers,Honduras,25,29 March 1989,FALSE
?,MF,Luis Garrido,18,Honduras Olimpia,Honduras,23,5 November 1990,TRUE
?,MF,Andy Najar,15,Belgium Anderlecht,Honduras,21,16 March 1993,FALSE
?,FW,Carlo Costly,68,Honduras Real Espa?a,Honduras,31,18 July 1982,TRUE
?,FW,Jerry Bengtson,41,United States New England Revolution,Honduras,27,8 April 1987,FALSE
?,FW,Jerry Palacios,21,Costa Rica Alajuelense,Honduras,32,1 November 1981,FALSE
?,FW,Rony Mart?nez,10,Honduras Real Sociedad,Honduras,25,16 October 1988,TRUE
1,GK,Diego Benaglio,55,Germany VfL Wolfsburg,Switzerland,30,8 September 1983,FALSE
2,DF,Stephan Lichtsteiner,61,Italy Juventus,Switzerland,30,16 January 1984,FALSE
3,DF,Reto Ziegler,34,Italy Sassuolo,Switzerland,28,16 January 1986,FALSE
4,DF,Philippe Senderos,52,Spain Valencia,Switzerland,29,14 February 1985,FALSE
5,DF,Steve von Bergen,40,Switzerland Young Boys,Switzerland,31,10 June 1983,TRUE
6,DF,Michael Lang,5,Switzerland Grasshopper,Switzerland,23,8 February 1991,TRUE
7,MF,Tranquillo Barnetta,73,Germany Eintracht Frankfurt,Switzerland,29,22 May 1985,FALSE
8,MF,G?khan Inler (captain),71,Italy Napoli,Switzerland,29,27 June 1984,FALSE
9,FW,Haris Seferovic,9,Spain Real Sociedad,Switzerland,22,22 February 1992,FALSE
10,MF,Granit Xhaka,24,Germany Borussia M?nchengladbach,Switzerland,21,27 September 1992,FALSE
11,MF,Valon Behrami,46,Italy Napoli,Switzerland,29,19 April 1985,FALSE
12,GK,Yann Sommer,5,Switzerland Basel,Switzerland,25,17 December 1988,TRUE
13,DF,Ricardo Rodr?guez,19,Germany VfL Wolfsburg,Switzerland,21,25 August 1992,FALSE
14,MF,Valentin Stocker,22,Switzerland Basel,Switzerland,25,12 April 1989,TRUE
15,MF,Blerim D?emaili,32,Italy Napoli,Switzerland,28,12 April 1986,FALSE
16,MF,Gelson Fernandes,46,Germany SC Freiburg,Switzerland,27,2 September 1986,FALSE
17,FW,Mario Gavranovic,10,Switzerland Z?rich,Switzerland,24,24 November 1989,TRUE
18,FW,Admir Mehmedi,19,Germany SC Freiburg,Switzerland,23,16 March 1991,FALSE
19,FW,Josip Drmic,5,Germany 1. FC N?rnberg,Switzerland,21,8 August 1992,FALSE
20,DF,Johan Djourou,43,Germany Hamburger SV,Switzerland,27,18 January 1987,FALSE
21,GK,Roman B?rki,0,Switzerland Grasshopper,Switzerland,23,14 November 1990,TRUE
22,DF,Fabian Sch?r,5,Switzerland Basel,Switzerland,22,20 December 1991,TRUE
23,MF,Xherdan Shaqiri,31,Germany Bayern Munich,Switzerland,22,10 October 1991,FALSE
?,GK,Sergio Romero,45,France Monaco,Argentina,27,22 February 1987,FALSE
?,GK,Mariano And?jar,10,Italy Catania,Argentina,30,30 July 1983,FALSE
?,GK,Agust?n Ori?n,3,Argentina Boca Juniors,Argentina,32,26 July 1981,TRUE
?,DF,Mart?n Demichelis,37,England Manchester City,Argentina,33,20 December 1980,FALSE
?,DF,Pablo Zabaleta,36,England Manchester City,Argentina,29,16 January 1985,FALSE
?,DF,Federico Fern?ndez,24,Italy Napoli,Argentina,25,21 February 1989,FALSE
?,DF,Marcos Rojo,20,Portugal Sporting CP,Argentina,24,20 March 1990,FALSE
?,DF,Ezequiel Garay,18,Portugal Benfica,Argentina,27,10 October 1986,FALSE
?,DF,Nicol?s Otamendi,16,Brazil Atl?tico Mineiro,Argentina,26,12 February 1988,FALSE
?,DF,Hugo Campagnaro,13,Italy Internazionale,Argentina,33,27 June 1980,FALSE
?,DF,Jos? Mar?a Basanta,8,Mexico Monterrey,Argentina,30,3 April 1984,FALSE
?,MF,Javier Mascherano,96,Spain Barcelona,Argentina,30,8 June 1984,FALSE
?,MF,Maxi Rodr?guez,53,Argentina Newell's Old Boys,Argentina,33,2 January 1981,TRUE
?,MF,Fernando Gago,47,Argentina Boca Juniors,Argentina,28,10 April 1986,TRUE
?,MF,?ngel di Mar?a,45,Spain Real Madrid,Argentina,26,14 February 1988,FALSE
?,MF,?ver Banega,24,Argentina Newell's Old Boys,Argentina,25,29 June 1988,TRUE
?,MF,Jos? Ernesto Sosa,19,Spain Atl?tico Madrid,Argentina,28,19 June 1985,FALSE
?,MF,Lucas Biglia,16,Italy Lazio,Argentina,28,30 January 1986,FALSE
-,MF,Augusto Fern?ndez,7,Spain Celta Vigo,Argentina,28,10 April 1986,FALSE
?,MF,Ricardo ?lvarez,5,Italy Internazionale,Argentina,26,12 April 1988,FALSE
?,MF,Enzo P?rez,5,Portugal Benfica,Argentina,28,22 February 1986,FALSE
?,FW,Lionel Messi (Captain),84,Spain Barcelona,Argentina,26,24 June 1987,FALSE
?,FW,Sergio Ag?ero,50,England Manchester City,Argentina,26,2 June 1988,FALSE
?,GK,Asmir Begovic,28,England Stoke City,Bosnia and Herzegovina,26,20 June 1987,FALSE
?,GK,Asmir Avdukic,3,Bosnia and Herzegovina Borac Banja Luka,Bosnia and Herzegovina,33,13 May 1981,FALSE
?,GK,Jasmin Fejzic,0,Germany VfR Aalen,Bosnia and Herzegovina,28,15 May 1986,FALSE
?,GK,Dejan Bandovic,0,Bosnia and Herzegovina Sarajevo,Bosnia and Herzegovina,31,11 June 1983,FALSE
?,DF,Emir Spahic,72,Germany Bayer Leverkusen,Bosnia and Herzegovina,33,18 August 1980,FALSE
?,DF,Mensur Mujd?a,22,Germany SC Freiburg,Bosnia and Herzegovina,30,28 March 1984,FALSE
?,DF,Avdija Vr?ajevic,12,Croatia Hajduk Split,Bosnia and Herzegovina,28,6 March 1986,FALSE
?,DF,Ognjen Vranje?,11,Turkey Elazigspor,Bosnia and Herzegovina,24,24 October 1989,FALSE
?,DF,Ermin Bicakcic,7,Germany Eintracht Braunschweig,Bosnia and Herzegovina,24,24 January 1990,FALSE
?,DF,Ervin Zukanovic,6,Belgium Gent,Bosnia and Herzegovina,27,11 February 1987,FALSE
?,DF,Toni ?unjic,5,Ukraine Zorya Luhansk,Bosnia and Herzegovina,25,15 December 1988,FALSE
?,DF,Sead Kola?inac,2,Germany Schalke 04,Bosnia and Herzegovina,20,20 June 1993,FALSE
?,MF,Zvjezdan Misimovic,80,China Guizhou Renhe,Bosnia and Herzegovina,32,5 June 1982,FALSE
?,MF,Miralem Pjanic,46,Italy Roma,Bosnia and Herzegovina,24,2 April 1990,FALSE
?,MF,Senijad Ibricic,41,Turkey Kayseri Erciyesspor,Bosnia and Herzegovina,28,26 September 1985,FALSE
?,MF,Sejad Salihovic,40,Germany 1899 Hoffenheim,Bosnia and Herzegovina,29,8 October 1984,FALSE
?,MF,Haris Medunjanin,34,Turkey Gaziantepspor,Bosnia and Herzegovina,29,8 March 1985,FALSE
?,MF,Senad Lulic,33,Italy Lazio,Bosnia and Herzegovina,28,18 January 1986,FALSE
?,MF,Adnan Zahirovic,20,Germany VfL Bochum,Bosnia and Herzegovina,24,23 March 1990,FALSE
?,MF,Miroslav Stevanovic,10,Spain Alav?s,Bosnia and Herzegovina,23,29 July 1990,FALSE
?,MF,Muhamed Be?ic,7,Hungary Ferencv?ros,Bosnia and Herzegovina,21,10 September 1992,FALSE
?,MF,Izet Hajrovic,5,Turkey Galatasaray,Bosnia and Herzegovina,22,4 August 1991,FALSE
?,MF,Zoran Kvr?ic,3,Croatia Rijeka,Bosnia and Herzegovina,24,06 July 1989,FALSE
?,GK,Rahman Ahmadi,11,Iran Sepahan,Iran,33,30 July 1980,TRUE
?,GK,Alireza Haghighi,5,Portugal Sporting Covilh?,Iran,26,2 May 1988,FALSE
?,GK,Daniel Davari,3,Germany Eintracht Braunschweig,Iran,26,6 January 1988,FALSE
?,GK,Sosha Makani,2,Iran Foolad,Iran,27,18 November 1986,TRUE
?,GK,Alireza Beiranvand,0,Iran Naft Tehran,Iran,21, 22 September 1992,TRUE
?,DF,Jalal Hosseini,84,Iran Persepolis,Iran,32,3 February 1982,TRUE
?,DF,Ehsan Hajsafi,60,Iran Sepahan,Iran,24,25 February 1990,TRUE
?,DF,Khosro Heydari,48,Iran Esteghlal,Iran,30,14 September 1983,TRUE
?,DF,Pejman Montazeri,22,Qatar Umm Salal,Iran,30,6 September 1983,FALSE
?,DF,Hossein Mahini,20,Iran Persepolis,Iran,27,16 September 1986,TRUE
?,DF,Mehrdad Pouladi,19,Iran Persepolis,Iran,27,26 February 1987,TRUE
?,DF,Hashem Beikzadeh,17,Iran Esteghlal,Iran,30,22 January 1984,TRUE
?,DF,Amir Hossein Sadeghi,16,Iran Esteghlal,Iran,32,6 September 1981,TRUE
?,DF,Mohammad Reza Khanzadeh,6,Iran Zob Ahan,Iran,23,11 May 1991,TRUE
?,DF,Ahmad Alenemeh,5,Iran Naft Tehran,Iran,31,10 October 1982,TRUE
?,DF,Steven Beitashour,5,Canada Vancouver Whitecaps,Iran,27,1 February 1987,FALSE
?,MF,Javad Nekounam,138,Kuwait Al-Kuwait,Iran,33,7 October 1980,FALSE
?,MF,Andranik Teymourian,78,Iran Esteghlal,Iran,31,6 March 1983,TRUE
?,MF,Mohammad Reza Khalatbari,59,Iran Persepolis,Iran,29,14 September 1984,TRUE
?,MF,Masoud Shojaei,49,Spain Las Palmas,Iran,30,9 June 1984,FALSE
?,MF,Ghasem Haddadifar,15,Iran Zob Ahan,Iran,30,12 July 1983,TRUE
?,MF,Ashkan Dejagah,12,England Fulham,Iran,27,5 July 1986,FALSE
?,MF,Alireza Jahanbakhsh,6,Netherlands NEC,Iran,20,11 August 1993,FALSE
?,GK,Vincent Enyeama,89,France Lille,Nigeria,31,29 August 1982,FALSE
?,GK,Austin Ejide,32,Israel Hapoel Be'er Sheva,Nigeria,30,8 April 1984,FALSE
?,GK,Chigozie Agbim,11,Nigeria Gombe United,Nigeria,29,28 November 1984,TRUE
?,GK,Daniel Akpeyi,0,Nigeria Warri Wolves,Nigeria,27,3 August 1986,TRUE
?,DF,Joseph Yobo,95,England Norwich City,Nigeria,33,6 September 1980,FALSE
?,DF,Elderson,41,France Monaco,Nigeria,26,20 January 1988,FALSE
?,DF,Efe Ambrose,35,Scotland Celtic,Nigeria,25,18 October 1988,FALSE
?,DF,Godfrey Oboabona,34,Turkey ?aykur Rizespor,Nigeria,23,16 August 1990,FALSE
?,DF,Azubuike Egwuekwe,32,Nigeria Warri Wolves,Nigeria,24,16 July 1989,TRUE
?,DF,Kenneth Omeruo,16,England Middlesbrough,Nigeria,20,17 October 1993,FALSE
?,DF,Juwon Oshaniwa,10,Israel Ashdod,Nigeria,23,14 September 1990,FALSE
?,DF,Kunle Odunlami,9,Nigeria Sunshine Stars,Nigeria,24,5 March 1990,TRUE
?,MF,John Obi Mikel,58,England Chelsea,Nigeria,27,22 April 1987,FALSE
?,MF,Ahmed Musa,34,Russia CSKA Moscow,Nigeria,21,14 October 1992,FALSE
?,MF,Sunday Mba,21,France CA Bastia,Nigeria,25,28 November 1988,FALSE
?,MF,Ejike Uzoenyi,21,Nigeria Enugu Rangers,Nigeria,26,23 March 1988,TRUE
?,MF,Ogenyi Onazi,19,Italy Lazio,Nigeria,21,25 December 1992,FALSE
?,MF,Victor Moses,19,England Liverpool,Nigeria,23,12 December 1990,FALSE
?,MF,Nnamdi Oduamadi,13,Italy Brescia,Nigeria,23,17 October 1990,FALSE
?,MF,Joel Obi,12,Italy Parma,Nigeria,23,22 May 1991,FALSE
?,MF,Nosa Igiebor,12,Spain Real Betis,Nigeria,23,9 November 1990,FALSE
?,MF,Reuben Gabriel,11,Belgium Waasland-Beveren,Nigeria,23,25 September 1990,FALSE
?,MF,Ramon Azeez,1,Spain Almer?a,Nigeria,21,12 December 1992,FALSE
?,GK,Manuel Neuer,45,Germany Bayern Munich,Germany,28,27 March 1986,TRUE
?,GK,Ron-Robert Zieler,2,Germany Hannover 96,Germany,25,12 February 1989,TRUE
?,GK,Roman Weidenfeller,1,Germany Borussia Dortmund,Germany,33,6 August 1980,TRUE
?,DF,Philipp Lahm,105,Germany Bayern Munich,Germany,30,11 November 1983,TRUE
?,DF,Per Mertesacker,96,England Arsenal,Germany,29,29 September 1984,FALSE
?,DF,J?r?me Boateng,37,Germany Bayern Munich,Germany,25,3 September 1988,TRUE
?,DF,Mats Hummels,28,Germany Borussia Dortmund,Germany,25,16 December 1988,TRUE
?,DF,Benedikt H?wedes,19,Germany Schalke 04,Germany,26,29 February 1988,TRUE
?,DF,Marcel Schmelzer,16,Germany Borussia Dortmund,Germany,26,22 January 1988,TRUE
?,DF,Kevin Gro?kreutz,4,Germany Borussia Dortmund,Germany,25,19 July 1988,TRUE
?,DF,Matthias Ginter,2,Germany SC Freiburg,Germany,20,19 January 1994,TRUE
?,DF,Shkodran Mustafi,1,Italy Sampdoria,Germany,22,17 April 1992,FALSE
?,DF,Erik Durm,0,Germany Borussia Dortmund,Germany,22,12 May 1992,TRUE
?,MF,Bastian Schweinsteiger,101,Germany Bayern Munich,Germany,29,1 August 1984,TRUE
?,MF,Mesut ?zil,53,England Arsenal,Germany,25,15 October 1988,FALSE
?,MF,Sami Khedira,44,Spain Real Madrid,Germany,27,4 April 1987,FALSE
?,MF,Toni Kroos,42,Germany Bayern Munich,Germany,24,4 January 1990,TRUE
?,MF,Mario G?tze,27,Germany Bayern Munich,Germany,22,3 June 1992,TRUE
?,MF,Julian Draxler,11,Germany Schalke 04,Germany,20,20 September 1993,TRUE
?,MF,Christoph Kramer,1,Germany Borussia M?nchengladbach,Germany,23,12 February 1991,TRUE
?,FW,Miroslav Klose,131,Italy Lazio,Germany,36,9 June 1978,FALSE
?,FW,Lukas Podolski,112,England Arsenal,Germany,29,4 June 1985,FALSE
?,FW,Andr? Sch?rrle,31,England Chelsea,Germany,23,6 November 1990,FALSE
?,GK,Adam Kwarasey,20,Norway Str?msgodset,Ghana,26,12 December 1987,FALSE
?,GK,Fatau Dauda,17,South Africa Orlando Pirates,Ghana,29,6 April 1985,FALSE
?,GK,Steven Adams,6,Ghana Aduana Stars,Ghana,24,28 September 1989,TRUE
?,DF,Samuel Inkoom,45,Greece Platanias,Ghana,25,1 June 1989,FALSE
?,DF,Harrison Afful,39,Tunisia Esp?rance,Ghana,27,24 June 1986,FALSE
?,DF,John Boye,29,France Rennes,Ghana,27,23 April 1987,FALSE
?,DF,Jonathan Mensah,25,France ?vian,Ghana,23,13 July 1990,FALSE
?,DF,Daniel Opare,16,Belgium Standard Li?ge,Ghana,23,18 October 1990,FALSE
?,DF,Jerry Akaminko,8,Turkey Eskisehirspor,Ghana,26,2 May 1988,FALSE
?,DF,Rashid Sumaila,5,South Africa Mamelodi Sundowns,Ghana,21,18 December 1992,FALSE
?,DF,Jeff Schlupp,1,England Leicester City,Ghana,21,23 December 1992,FALSE
?,MF,Sulley Muntari,81,Italy Milan,Ghana,29,27 August 1984,FALSE
?,MF,Kwadwo Asamoah,60,Italy Juventus,Ghana,25,9 December 1988,FALSE
?,MF,Michael Essien,56,Italy Milan,Ghana,31,3 December 1982,FALSE
?,MF,Emmanuel Agyemang-Badu,48,Italy Udinese,Ghana,23,2 December 1990,FALSE
?,MF,Andr? Ayew,47,France Marseille,Ghana,24,17 December 1989,FALSE
?,MF,Christian Atsu,21,Netherlands Vitesse,Ghana,22,10 January 1992,FALSE
?,MF,Wakaso Mubarak,16,Russia Rubin Kazan,Ghana,23,25 July 1990,FALSE
?,MF,Mohammed Rabiu,15,Russia Kuban Krasnodar,Ghana,24,31 December 1989,FALSE
?,MF,Albert Adomah,13,England Middlesbrough,Ghana,26,13 December 1987,FALSE
?,MF,Kevin-Prince Boateng,11,Germany Schalke 04,Ghana,27,6 March 1987,FALSE
?,MF,Afriyie Acquah,3,Italy Parma,Ghana,22,5 January 1992,FALSE
?,FW,Asamoah Gyan,78,United Arab Emirates Al-Ain,Ghana,28,22 November 1985,FALSE
1,GK,Eduardo,32,Portugal Braga,Portugal,31,19 September 1982,TRUE
2,DF,Bruno Alves,70,Turkey Fenerbah?e,Portugal,32,27 November 1981,FALSE
3,DF,Pepe,57,Spain Real Madrid,Portugal,31,26 February 1983,FALSE
4,MF,Miguel Veloso,46,Ukraine Dynamo Kyiv,Portugal,28,11 May 1986,FALSE
5,DF,F?bio Coentr?o,43,Spain Real Madrid,Portugal,26,11 March 1988,FALSE
6,MF,William Carvalho,2,Portugal Sporting CP,Portugal,22,7 April 1992,TRUE
7,FW,Cristiano Ronaldo (captain),110,Spain Real Madrid,Portugal,29,05 February 1985,FALSE
